Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,IdPlusDate
1503960366,4/12/16,1,327,346,1503960366 42472
1503960366,4/13/16,2,384,407,1503960366 42473
1503960366,4/15/16,1,412,442,1503960366 42475
1503960366,4/16/16,2,340,367,1503960366 42476
1503960366,4/17/16,1,700,712,1503960366 42477
1503960366,4/19/16,1,304,320,1503960366 42479
1503960366,4/20/16,1,360,377,1503960366 42480
1503960366,4/21/16,1,325,364,1503960366 42481
1503960366,4/23/16,1,361,384,1503960366 42483
1503960366,4/24/16,1,430,449,1503960366 42484
1503960366,4/25/16,1,277,323,1503960366 42485
1503960366,4/26/16,1,245,274,1503960366 42486
1503960366,4/28/16,1,366,393,1503960366 42488
1503960366,4/29/16,1,341,354,1503960366 42489
1503960366,4/30/16,1,404,425,1503960366 42490
1503960366,5/1/16,1,369,396,1503960366 42491
1503960366,5/2/16,1,277,309,1503960366 42492
1503960366,5/3/16,1,273,296,1503960366 42493
1503960366,5/5/16,1,247,264,1503960366 42495
1503960366,5/6/16,1,334,367,1503960366 42496
1503960366,5/7/16,1,331,349,1503960366 42497
1503960366,5/8/16,1,594,611,1503960366 42498
1503960366,5/9/16,1,338,342,1503960366 42499
1503960366,5/10/16,1,383,403,1503960366 42500
1503960366,5/11/16,1,285,306,1503960366 42501
1644430081,4/29/16,1,119,127,1644430081 42489
1644430081,4/30/16,1,124,142,1644430081 42490
1644430081,5/2/16,1,796,961,1644430081 42492
1644430081,5/8/16,1,137,154,1644430081 42498
1844505072,4/15/16,1,644,961,1844505072 42475
1844505072,4/30/16,1,722,961,1844505072 42490
1844505072,5/1/16,1,590,961,1844505072 42491
1927972279,4/12/16,3,750,775,1927972279 42472
1927972279,4/13/16,1,398,422,1927972279 42473
1927972279,4/15/16,2,475,499,1927972279 42475
1927972279,4/26/16,1,296,315,1927972279 42486
1927972279,4/28/16,1,166,178,1927972279 42488
2026352035,4/12/16,1,503,546,2026352035 42472
2026352035,4/13/16,1,531,565,2026352035 42473
2026352035,4/14/16,1,545,568,2026352035 42474
2026352035,4/15/16,1,523,573,2026352035 42475
2026352035,4/16/16,1,524,567,2026352035 42476
2026352035,4/17/16,1,437,498,2026352035 42477
2026352035,4/19/16,1,498,540,2026352035 42479
2026352035,4/20/16,1,461,510,2026352035 42480
2026352035,4/21/16,1,477,514,2026352035 42481
2026352035,4/22/16,1,520,545,2026352035 42482
2026352035,4/23/16,1,522,554,2026352035 42483
2026352035,4/24/16,1,555,591,2026352035 42484
2026352035,4/25/16,1,506,531,2026352035 42485
2026352035,4/27/16,1,508,545,2026352035 42487
2026352035,4/28/16,1,513,545,2026352035 42488
2026352035,4/29/16,1,490,510,2026352035 42489
2026352035,4/30/16,1,573,607,2026352035 42490
2026352035,5/1/16,1,527,546,2026352035 42491
2026352035,5/2/16,1,511,543,2026352035 42492
2026352035,5/4/16,1,538,560,2026352035 42494
2026352035,5/5/16,1,468,485,2026352035 42495
2026352035,5/6/16,1,524,548,2026352035 42496
2026352035,5/7/16,1,511,521,2026352035 42497
2026352035,5/8/16,1,541,568,2026352035 42498
2026352035,5/9/16,1,531,556,2026352035 42499
2026352035,5/10/16,1,357,380,2026352035 42500
2026352035,5/11/16,1,523,553,2026352035 42501
2026352035,5/12/16,1,456,485,2026352035 42502
2320127002,4/23/16,1,61,69,2320127002 42483
2347167796,4/13/16,1,467,531,2347167796 42473
2347167796,4/14/16,1,445,489,2347167796 42474
2347167796,4/15/16,1,452,504,2347167796 42475
2347167796,4/17/16,1,556,602,2347167796 42477
2347167796,4/18/16,1,500,557,2347167796 42478
2347167796,4/19/16,1,465,514,2347167796 42479
2347167796,4/21/16,1,460,484,2347167796 42481
2347167796,4/22/16,1,405,461,2347167796 42482
2347167796,4/23/16,1,374,386,2347167796 42483
2347167796,4/24/16,1,442,459,2347167796 42484
2347167796,4/25/16,1,433,471,2347167796 42485
2347167796,4/26/16,1,436,490,2347167796 42486
2347167796,4/27/16,1,448,499,2347167796 42487
2347167796,4/28/16,1,408,450,2347167796 42488
2347167796,4/29/16,1,411,473,2347167796 42489
3977333714,4/12/16,1,274,469,3977333714 42472
3977333714,4/13/16,2,295,456,3977333714 42473
3977333714,4/14/16,1,291,397,3977333714 42474
3977333714,4/15/16,1,424,556,3977333714 42475
3977333714,4/16/16,1,283,510,3977333714 42476
3977333714,4/17/16,1,381,566,3977333714 42477
3977333714,4/18/16,2,412,522,3977333714 42478
3977333714,4/19/16,1,219,395,3977333714 42479
3977333714,4/20/16,2,152,305,3977333714 42480
3977333714,4/21/16,1,332,512,3977333714 42481
3977333714,4/22/16,1,355,476,3977333714 42482
3977333714,4/23/16,1,235,372,3977333714 42483
3977333714,4/24/16,1,310,526,3977333714 42484
3977333714,4/25/16,1,262,467,3977333714 42485
3977333714,4/26/16,1,250,371,3977333714 42486
3977333714,4/27/16,1,349,540,3977333714 42487
3977333714,4/28/16,1,261,423,3977333714 42488
3977333714,4/29/16,1,333,478,3977333714 42489
3977333714,4/30/16,1,237,382,3977333714 42490
3977333714,5/1/16,1,383,626,3977333714 42491
3977333714,5/2/16,1,230,384,3977333714 42492
3977333714,5/3/16,1,292,500,3977333714 42493
3977333714,5/4/16,1,213,336,3977333714 42494
3977333714,5/5/16,1,318,480,3977333714 42495
3977333714,5/6/16,1,323,512,3977333714 42496
3977333714,5/7/16,1,237,443,3977333714 42497
3977333714,5/8/16,2,259,456,3977333714 42498
3977333714,5/10/16,1,312,452,3977333714 42500
4020332650,4/12/16,1,501,541,4020332650 42472
4020332650,4/16/16,1,77,77,4020332650 42476
4020332650,5/3/16,1,322,332,4020332650 42493
4020332650,5/4/16,1,478,536,4020332650 42494
4020332650,5/5/16,1,226,248,4020332650 42495
4020332650,5/6/16,1,385,408,4020332650 42496
4020332650,5/8/16,1,364,402,4020332650 42498
4020332650,5/10/16,1,442,494,4020332650 42500
4319703577,4/14/16,1,535,557,4319703577 42474
4319703577,4/15/16,1,465,491,4319703577 42475
4319703577,4/16/16,1,506,522,4319703577 42476
4319703577,4/18/16,1,515,551,4319703577 42478
4319703577,4/19/16,2,461,498,4319703577 42479
4319703577,4/20/16,1,523,543,4319703577 42480
4319703577,4/21/16,1,59,65,4319703577 42481
4319703577,4/22/16,1,533,550,4319703577 42482
4319703577,4/23/16,1,692,722,4319703577 42483
4319703577,4/24/16,1,467,501,4319703577 42484
4319703577,4/25/16,1,488,506,4319703577 42485
4319703577,4/26/16,1,505,516,4319703577 42486
4319703577,4/27/16,1,286,307,4319703577 42487
4319703577,4/28/16,1,497,522,4319703577 42488
4319703577,4/29/16,1,523,546,4319703577 42489
4319703577,4/30/16,1,490,516,4319703577 42490
4319703577,5/1/16,1,484,500,4319703577 42491
4319703577,5/2/16,1,478,506,4319703577 42492
4319703577,5/3/16,1,474,512,4319703577 42493
4319703577,5/6/16,1,450,491,4319703577 42496
4319703577,5/7/16,1,507,530,4319703577 42497
4319703577,5/8/16,1,602,638,4319703577 42498
4319703577,5/9/16,1,535,565,4319703577 42499
4319703577,5/10/16,1,487,517,4319703577 42500
4319703577,5/11/16,1,529,558,4319703577 42501
4319703577,5/12/16,1,302,321,4319703577 42502
4388161847,4/15/16,1,499,526,4388161847 42475
4388161847,4/16/16,2,426,448,4388161847 42476
4388161847,4/17/16,2,619,641,4388161847 42477
4388161847,4/18/16,1,99,104,4388161847 42478
4388161847,4/19/16,1,329,338,4388161847 42479
4388161847,4/20/16,1,421,451,4388161847 42480
4388161847,4/21/16,1,442,458,4388161847 42481
4388161847,4/22/16,1,82,85,4388161847 42482
4388161847,4/23/16,1,478,501,4388161847 42483
4388161847,4/24/16,3,552,595,4388161847 42484
4388161847,4/26/16,1,319,346,4388161847 42486
4388161847,4/27/16,1,439,500,4388161847 42487
4388161847,4/28/16,1,428,458,4388161847 42488
4388161847,4/30/16,2,409,430,4388161847 42490
4388161847,5/1/16,1,547,597,4388161847 42491
4388161847,5/2/16,2,368,376,4388161847 42492
4388161847,5/4/16,1,390,414,4388161847 42494
4388161847,5/5/16,1,471,495,4388161847 42495
4388161847,5/7/16,1,472,496,4388161847 42497
4388161847,5/8/16,2,529,541,4388161847 42498
4388161847,5/9/16,1,62,65,4388161847 42499
4388161847,5/10/16,1,354,375,4388161847 42500
4388161847,5/11/16,1,469,494,4388161847 42501
4445114986,4/12/16,2,429,457,4445114986 42472
4445114986,4/13/16,2,370,406,4445114986 42473
4445114986,4/14/16,1,441,492,4445114986 42474
4445114986,4/15/16,2,337,379,4445114986 42475
4445114986,4/16/16,1,462,499,4445114986 42476
4445114986,4/17/16,1,98,107,4445114986 42477
4445114986,4/19/16,2,388,424,4445114986 42479
4445114986,4/20/16,1,439,462,4445114986 42480
4445114986,4/21/16,1,436,469,4445114986 42481
4445114986,4/22/16,1,388,417,4445114986 42482
4445114986,4/25/16,1,328,345,4445114986 42485
4445114986,4/26/16,2,353,391,4445114986 42486
4445114986,4/27/16,1,332,374,4445114986 42487
4445114986,4/28/16,1,419,442,4445114986 42488
4445114986,4/29/16,1,106,108,4445114986 42489
4445114986,4/30/16,1,322,353,4445114986 42490
4445114986,5/1/16,2,439,459,4445114986 42491
4445114986,5/2/16,1,502,542,4445114986 42492
4445114986,5/3/16,2,417,450,4445114986 42493
4445114986,5/4/16,2,337,363,4445114986 42494
4445114986,5/5/16,2,462,513,4445114986 42495
4445114986,5/6/16,2,374,402,4445114986 42496
4445114986,5/7/16,2,401,436,4445114986 42497
4445114986,5/8/16,1,361,391,4445114986 42498
4445114986,5/9/16,1,457,533,4445114986 42499
4445114986,5/10/16,1,405,426,4445114986 42500
4445114986,5/11/16,1,499,530,4445114986 42501
4445114986,5/12/16,1,483,501,4445114986 42502
4558609924,4/21/16,1,126,137,4558609924 42481
4558609924,4/26/16,1,103,121,4558609924 42486
4558609924,4/29/16,1,171,179,4558609924 42489
4558609924,5/1/16,1,115,129,4558609924 42491
4558609924,5/8/16,1,123,134,4558609924 42498
4702921684,4/12/16,1,425,439,4702921684 42472
4702921684,4/13/16,2,400,430,4702921684 42473
4702921684,4/14/16,1,384,415,4702921684 42474
4702921684,4/15/16,1,253,257,4702921684 42475
4702921684,4/16/16,2,382,406,4702921684 42476
4702921684,4/17/16,1,591,612,4702921684 42477
4702921684,4/18/16,1,293,312,4702921684 42478
4702921684,4/19/16,1,457,487,4702921684 42479
4702921684,4/20/16,1,454,468,4702921684 42480
4702921684,4/21/16,1,425,434,4702921684 42481
4702921684,4/23/16,1,465,475,4702921684 42483
4702921684,4/24/16,1,480,506,4702921684 42484
4702921684,4/25/16,1,370,380,4702921684 42485
4702921684,4/26/16,1,421,429,4702921684 42486
4702921684,4/27/16,1,432,449,4702921684 42487
4702921684,4/28/16,1,442,461,4702921684 42488
4702921684,4/29/16,1,433,447,4702921684 42489
4702921684,4/30/16,1,479,501,4702921684 42490
4702921684,5/3/16,1,327,373,4702921684 42493
4702921684,5/4/16,1,412,434,4702921684 42494
4702921684,5/5/16,1,414,428,4702921684 42495
4702921684,5/6/16,1,404,449,4702921684 42496
4702921684,5/7/16,1,520,543,4702921684 42497
4702921684,5/9/16,1,435,458,4702921684 42499
4702921684,5/10/16,1,416,431,4702921684 42500
4702921684,5/11/16,1,354,366,4702921684 42501
4702921684,5/12/16,1,404,442,4702921684 42502
5553957443,4/12/16,1,441,464,5553957443 42472
5553957443,4/13/16,2,455,488,5553957443 42473
5553957443,4/14/16,1,357,418,5553957443 42474
5553957443,4/15/16,1,377,409,5553957443 42475
5553957443,4/16/16,2,651,686,5553957443 42476
5553957443,4/17/16,1,350,402,5553957443 42477
5553957443,4/18/16,2,520,541,5553957443 42478
5553957443,4/19/16,1,357,410,5553957443 42479
5553957443,4/20/16,1,658,678,5553957443 42480
5553957443,4/21/16,1,399,431,5553957443 42481
5553957443,4/22/16,1,322,353,5553957443 42482
5553957443,4/23/16,2,631,725,5553957443 42483
5553957443,4/24/16,2,553,640,5553957443 42484
5553957443,4/25/16,1,433,468,5553957443 42485
5553957443,4/26/16,1,412,453,5553957443 42486
5553957443,4/27/16,1,347,391,5553957443 42487
5553957443,4/28/16,1,421,457,5553957443 42488
5553957443,4/29/16,1,450,495,5553957443 42489
5553957443,4/30/16,2,775,843,5553957443 42490
5553957443,5/1/16,2,622,686,5553957443 42491
5553957443,5/2/16,1,409,471,5553957443 42492
5553957443,5/3/16,1,380,429,5553957443 42493
5553957443,5/4/16,1,447,470,5553957443 42494
5553957443,5/5/16,1,419,464,5553957443 42495
5553957443,5/6/16,1,400,434,5553957443 42496
5553957443,5/7/16,1,442,470,5553957443 42497
5553957443,5/8/16,1,568,608,5553957443 42498
5553957443,5/9/16,1,453,494,5553957443 42499
5553957443,5/10/16,1,418,443,5553957443 42500
5553957443,5/11/16,1,463,486,5553957443 42501
5553957443,5/12/16,1,438,475,5553957443 42502
5577150313,4/12/16,1,419,438,5577150313 42472
5577150313,4/13/16,1,432,458,5577150313 42473
5577150313,4/14/16,1,477,497,5577150313 42474
5577150313,4/15/16,1,392,413,5577150313 42475
5577150313,4/16/16,1,406,445,5577150313 42476
5577150313,4/17/16,1,549,583,5577150313 42477
5577150313,4/18/16,1,527,553,5577150313 42478
5577150313,4/19/16,1,449,465,5577150313 42479
5577150313,4/20/16,1,447,480,5577150313 42480
5577150313,4/21/16,1,414,437,5577150313 42481
5577150313,4/22/16,1,338,366,5577150313 42482
5577150313,4/23/16,1,384,402,5577150313 42483
5577150313,4/24/16,1,543,615,5577150313 42484
5577150313,4/25/16,1,421,461,5577150313 42485
5577150313,4/26/16,1,354,377,5577150313 42486
5577150313,4/27/16,1,424,452,5577150313 42487
5577150313,4/28/16,1,361,372,5577150313 42488
5577150313,4/29/16,1,459,485,5577150313 42489
5577150313,4/30/16,1,412,433,5577150313 42490
5577150313,5/1/16,1,379,398,5577150313 42491
5577150313,5/2/16,2,525,553,5577150313 42492
5577150313,5/3/16,1,508,543,5577150313 42493
5577150313,5/4/16,1,603,634,5577150313 42494
5577150313,5/5/16,1,74,78,5577150313 42495
5577150313,5/10/16,1,504,562,5577150313 42500
5577150313,5/11/16,1,431,476,5577150313 42501
6117666160,4/16/16,1,380,398,6117666160 42476
6117666160,4/17/16,2,336,350,6117666160 42477
6117666160,4/18/16,2,493,510,6117666160 42478
6117666160,4/19/16,1,465,492,6117666160 42479
6117666160,4/20/16,1,474,502,6117666160 42480
6117666160,4/21/16,1,508,550,6117666160 42481
6117666160,4/22/16,1,480,546,6117666160 42482
6117666160,4/23/16,1,492,539,6117666160 42483
6117666160,4/24/16,1,353,367,6117666160 42484
6117666160,4/27/16,1,542,557,6117666160 42487
6117666160,4/28/16,1,393,416,6117666160 42488
6117666160,4/29/16,1,600,636,6117666160 42489
6117666160,5/1/16,1,507,575,6117666160 42491
6117666160,5/5/16,1,392,415,6117666160 42495
6117666160,5/6/16,2,658,698,6117666160 42496
6117666160,5/7/16,2,498,507,6117666160 42497
6117666160,5/8/16,1,555,603,6117666160 42498
6117666160,5/9/16,1,492,522,6117666160 42499
6775888955,4/13/16,1,235,260,6775888955 42473
6775888955,4/14/16,1,423,441,6775888955 42474
6775888955,4/15/16,1,391,406,6775888955 42475
6962181067,4/12/16,1,366,387,6962181067 42472
6962181067,4/13/16,3,630,679,6962181067 42473
6962181067,4/14/16,2,508,535,6962181067 42474
6962181067,4/15/16,1,370,386,6962181067 42475
6962181067,4/16/16,1,357,366,6962181067 42476
6962181067,4/17/16,1,427,446,6962181067 42477
6962181067,4/18/16,1,442,458,6962181067 42478
6962181067,4/19/16,1,476,535,6962181067 42479
6962181067,4/20/16,1,418,424,6962181067 42480
6962181067,4/21/16,1,451,457,6962181067 42481
6962181067,4/22/16,1,425,435,6962181067 42482
6962181067,4/23/16,1,528,546,6962181067 42483
6962181067,4/24/16,1,511,514,6962181067 42484
6962181067,4/25/16,1,400,415,6962181067 42485
6962181067,4/26/16,1,441,446,6962181067 42486
6962181067,4/27/16,1,455,467,6962181067 42487
6962181067,4/28/16,1,440,453,6962181067 42488
6962181067,4/29/16,1,433,447,6962181067 42489
6962181067,4/30/16,1,422,424,6962181067 42490
6962181067,5/1/16,1,411,426,6962181067 42491
6962181067,5/2/16,1,466,482,6962181067 42492
6962181067,5/3/16,1,394,418,6962181067 42493
6962181067,5/4/16,1,442,455,6962181067 42494
6962181067,5/5/16,1,467,491,6962181067 42495
6962181067,5/6/16,1,443,462,6962181067 42496
6962181067,5/7/16,1,298,334,6962181067 42497
6962181067,5/8/16,1,541,569,6962181067 42498
6962181067,5/9/16,1,489,497,6962181067 42499
6962181067,5/10/16,1,469,481,6962181067 42500
6962181067,5/11/16,1,452,480,6962181067 42501
6962181067,5/12/16,1,516,535,6962181067 42502
7007744171,4/16/16,1,79,82,7007744171 42476
7007744171,5/1/16,1,58,61,7007744171 42491
7086361926,4/12/16,1,514,525,7086361926 42472
7086361926,4/13/16,1,451,465,7086361926 42473
7086361926,4/14/16,1,472,476,7086361926 42474
7086361926,4/15/16,1,377,386,7086361926 42475
7086361926,4/19/16,1,472,483,7086361926 42479
7086361926,4/20/16,1,492,502,7086361926 42480
7086361926,4/21/16,1,390,411,7086361926 42481
